state,district,month,biometric_pressure_index
Andhra Pradesh,K.V. Rangareddy,2025-10,0.44002126232295147
Andhra Pradesh,K.V. Rangareddy,2025-11,0.7734615868036102
Andhra Pradesh,K.V. Rangareddy,2025-12,-0.7984713714623525
Andhra Pradesh,K.V.Rangareddy,2025-01,-1.093364622585943
Andhra Pradesh,K.V.Rangareddy,2025-02,-1.0519951654689423
Andhra Pradesh,K.V.Rangareddy,2025-03,-0.8023183242804552
Andhra Pradesh,K.V.Rangareddy,2025-04,0.3121539919017392
Andhra Pradesh,K.V.Rangareddy,2025-05,-1.4287005749813966
Andhra Pradesh,K.V.Rangareddy,2025-06,0.3935023361486147
Andhra Pradesh,K.V.Rangareddy,2025-07,0.5833151393913241
Andhra Pradesh,K.V.Rangareddy,2025-08,0.3935023361486147
Andhra Pradesh,K.V.Rangareddy,2025-09,-0.08102967195815916
Andhra Pradesh,K.V.Rangareddy,2025-10,1.5323791556048718
Andhra Pradesh,K.V.Rangareddy,2025-11,-0.6314868013620165
Andhra Pradesh,K.V.Rangareddy,2025-12,1.8740422014417486
Andhra Pradesh,Kakinada,2025-01,0.3106078085275169
Andhra Pradesh,Kakinada,2025-02,-0.4761309411449207
Andhra Pradesh,Kakinada,2025-03,1.1908182841487756
Andhra Pradesh,Kakinada,2025-04,-0.5512849952140081
Andhra Pradesh,Kakinada,2025-05,-0.8340960777448059
Andhra Pradesh,Kakinada,2025-06,-0.5235921470637135
Andhra Pradesh,Kakinada,2025-07,-1.738532014529396
Andhra Pradesh,Kakinada,2025-08,-0.3667273427572292
Andhra Pradesh,Kakinada,2025-09,2.363713965868044
Andhra Pradesh,Kakinada,2025-10,-0.009735116948835762
Andhra Pradesh,Kakinada,2025-11,0.17768580160057063
Andhra Pradesh,Kakinada,2025-12,0.4572727752580056
Andhra Pradesh,Karim Nagar,2025-01,0.3046238839401605
Andhra Pradesh,Karim Nagar,2025-02,-0.22595600866479454
Andhra Pradesh,Karim Nagar,2025-03,-1.2791371488731265
Andhra Pradesh,Karim Nagar,2025-04,-0.6054109782986787
Andhra Pradesh,Karim Nagar,2025-05,-0.8710294570423981
Andhra Pradesh,Karim Nagar,2025-06,0.3116051983165417
Andhra Pradesh,Karim Nagar,2025-07,-1.659452560615024
Andhra Pradesh,Karim Nagar,2025-08,0.5931848781639081
Andhra Pradesh,Karim Nagar,2025-09,1.847494361120359
Andhra Pradesh,Karim Nagar,2025-10,-0.22595600866479454
Andhra Pradesh,Karim Nagar,2025-11,0.27669862643463655
Andhra Pradesh,Karim Nagar,2025-12,1.5333352141832146
Andhra Pradesh,Karimnagar,2025-01,0.5101791527620627
Andhra Pradesh,Karimnagar,2025-02,0.1391325202173664
Andhra Pradesh,Karimnagar,2025-03,0.07958319126170581
Andhra Pradesh,Karimnagar,2025-04,-0.5604889255577955
Andhra Pradesh,Karimnagar,2025-05,-1.3622457463659647
Andhra Pradesh,Karimnagar,2025-06,-1.232524475802828
Andhra Pradesh,Karimnagar,2025-07,-1.4740960195220731
Andhra Pradesh,Karimnagar,2025-08,-0.42906175112136263
Andhra Pradesh,Karimnagar,2025-09,0.48869975125708376
Andhra Pradesh,Karimnagar,2025-10,1.0309787468533107
Andhra Pradesh,Karimnagar,2025-11,0.947423513858382
Andhra Pradesh,Karimnagar,2025-12,1.8624200421601145
Andhra Pradesh,Khammam,2025-01,2.306611528762051
Andhra Pradesh,Khammam,2025-02,-0.5062561968218853
Andhra Pradesh,Khammam,2025-03,-0.4530947160987501
Andhra Pradesh,Khammam,2025-04,-0.8547276209337955
Andhra Pradesh,Khammam,2025-05,0.22445391638190448
Andhra Pradesh,Khammam,2025-06,-0.5280020234922286
Andhra Pradesh,Khammam,2025-07,-1.1959338749472768
Andhra Pradesh,Khammam,2025-08,-0.2878698323489128
Andhra Pradesh,Khammam,2025-09,1.852241605157845
Andhra Pradesh,Khammam,2025-10,-0.061722259803286335
Andhra Pradesh,Khammam,2025-11,-0.4570958884972503
Andhra Pradesh,Khammam,2025-12,-0.0386046373584177
Andhra Pradesh,Krishna,2025-01,-1.4633352465959648
Andhra Pradesh,Krishna,2025-02,0.4095656903285901
Andhra Pradesh,Krishna,2025-03,0.9439499869364572
Andhra Pradesh,Krishna,2025-04,-0.2824124709175742
Andhra Pradesh,Krishna,2025-05,-0.7776191229689888
Andhra Pradesh,Krishna,2025-06,-0.47226825785306653
Andhra Pradesh,Krishna,2025-07,-1.7946490319124206
Andhra Pradesh,Krishna,2025-08,-0.25740555245994995
Andhra Pradesh,Krishna,2025-09,1.851211029479125
Andhra Pradesh,Krishna,2025-10,0.6018723718214806
Andhra Pradesh,Krishna,2025-11,0.7719929161227228
Andhra Pradesh,Krishna,2025-12,0.4690976880195914
Andhra Pradesh,Kurnool,2025-01,-2.4238640336951898
Andhra Pradesh,Kurnool,2025-02,-0.6927486700680736
Andhra Pradesh,Kurnool,2025-03,-0.0759380706908044
Andhra Pradesh,Kurnool,2025-04,0.1418596883032719
Andhra Pradesh,Kurnool,2025-05,-0.13991353585974944
Andhra Pradesh,Kurnool,2025-06,-0.012803300953411501
Andhra Pradesh,Kurnool,2025-07,-0.9747677053661487
Andhra Pradesh,Kurnool,2025-08,0.13317657131766972
Andhra Pradesh,Kurnool,2025-09,1.3946040751444113
Andhra Pradesh,Kurnool,2025-10,0.8015480850677726
Andhra Pradesh,Kurnool,2025-11,0.5152875472622332
Andhra Pradesh,Kurnool,2025-12,1.3335593495380185
Andhra Pradesh,Mahabub Nagar,2025-01,-2.2669901477721965
Andhra Pradesh,Mahabub Nagar,2025-02,0.259151570065303
Andhra Pradesh,Mahabub Nagar,2025-03,0.22799413549371114
Andhra Pradesh,Mahabub Nagar,2025-04,0.4597461012119312
Andhra Pradesh,Mahabub Nagar,2025-05,-1.1918946685545384
